Provider,product,Price,CPU_RAM_price,Storage_price,licensed_OS_price,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Regional_redundancy,Autoscaling,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Region
Google,S1,0.22848,0.172668,0.0065,0,0,0.0493,100,300,4,16,100,no,horizontal,no upfront,No commitment,On Demand,Standard,free,Europe
Alibaba,ACk1,0.2511,0.13,0.02,0,0,0.1011,30,600,4,8,200,yes,horizontal,no upfront,No commitment,Dedicated,Standard,free,Asia
Alibaba,ACk2,0.2421,0.121,0.02,0,0,0.1011,30,600,4,8,200,yes,horizontal,no upfront,No commitment,Dedicated,Standard,Windows,Asia
Alibaba,ACk3,0.2911,0.13,0.06,0,0,0.1011,30,600,4,8,200,yes,horizontal,no upfront,No commitment,Dedicated,SSD,free,Asia
Alibaba,ACk4,0.2821,0.121,0.06,0,0,0.1011,30,600,4,8,200,yes,horizontal,no upfront,No commitment,Dedicated,SSD,Windows,Asia
Alibaba,ACk5,0.2361,0.075,0.06,0,0,0.1011,30,600,4,8,200,yes,horizontal,no upfront,1 Year commitment,On Demand,SSD,free,Asia
Alibaba,ACk6,0.1971,0.036,0.06,0,0,0.1011,30,600,4,8,200,yes,horizontal,partially upfront,1 Year commitment,On Demand,SSD,free,Asia
Alibaba,ACk7,0.1951,0.034,0.06,0,0,0.1011,30,600,4,8,200,yes,horizontal,All upfront,1 Year commitment,On Demand,SSD,free,Asia
Alibaba,ACk8,0.2131,0.052,0.06,0,0,0.1011,100,600,4,8,200,yes,horizontal,no upfront,3 Year commitment,On Demand,SSD,free,Asia
Alibaba,ACk9,0.1861,0.025,0.06,0,0,0.1011,100,600,4,8,200,yes,horizontal,partially upfront,3 Year commitment,On Demand,SSD,free,Asia
Alibaba,ACk10,0.1761,0.015,0.06,0,0,0.1011,100,600,4,8,200,yes,horizontal,All upfront,3 Year commitment,On Demand,SSD,free,Asia
Alibaba,ACk11,0.30349,0.075,0.06,0,0,0.1685,100,1000,4,8,200,yes,horizontal,no upfront,1 Year commitment,On Demand,SSD,Windows,Asia
Alibaba,ACk12,0.26449,0.036,0.06,0,0,0.1685,100,1000,4,8,200,yes,horizontal,partially upfront,1 Year commitment,On Demand,SSD,Windows,Asia
Alibaba,ACk13,0.26249,0.034,0.06,0,0,0.1685,100,1000,4,8,200,yes,horizontal,All upfront,1 Year commitment,On Demand,SSD,Windows,Asia
Alibaba,ACk14,0.28049,0.052,0.06,0,0,0.1685,100,1000,4,8,200,yes,horizontal,no upfront,3 Year commitment,On Demand,SSD,Windows,Asia
Alibaba,ACk15,0.25349,0.025,0.06,0,0,0.1685,100,1000,4,8,200,yes,horizontal,partially upfront,3 Year commitment,On Demand,SSD,Windows,Asia
Alibaba,ACk16,0.21349,0.015,0.03,0,0,0.1685,100,1000,4,8,300,yes,horizontal,All upfront,3 Year commitment,On Demand,SSD,Windows,Asia
Alibaba,ACk17,1.04797,0.344,0.03,0,0,0.674,1000,4000,8,16,300,yes,horizontal,no upfront,No commitment,On Demand,Standard,free,Europe
Alibaba,ACk18,0.98497,0.281,0.03,0,0,0.674,1000,4000,8,16,300,yes,horizontal,no upfront,1 Year commitment,On Demand,Standard,free,Europe
Alibaba,ACk19,0.96597,0.262,0.03,0,0,0.674,1000,4000,8,16,300,yes,horizontal,partially upfront,1 Year commitment,On Demand,Standard,free,Europe
Alibaba,ACk20,0.96097,0.257,0.03,0,0,0.674,1000,4000,8,16,300,yes,horizontal,All upfront,1 Year commitment,On Demand,Standard,free,Europe
Alibaba,ACk21,0.89997,0.196,0.03,0,0,0.674,1000,4000,8,16,300,yes,horizontal,no upfront,3 Year commitment,On Demand,Standard,free,Europe
Alibaba,ACk22,0.87997,0.176,0.03,0,0,0.674,1000,4000,8,16,300,yes,horizontal,partially upfront,3 Year commitment,On Demand,Standard,free,Europe
Alibaba,ACk23,0.86997,0.166,0.03,0,0,0.674,1000,4000,8,16,300,yes,horizontal,All upfront,3 Year commitment,On Demand,Standard,free,Europe
Alibaba,ACk24,1.28597,0.612,0,0,0,0.674,1000,4000,8,64,300,yes,horizontal,no upfront,No commitment,On Demand,SSD,Linux,US
Alibaba,ACk25,1.06797,0.394,0,0,0,0.674,1000,4000,8,16,300,yes,horizontal,no upfront,No commitment,On Demand,SSD,Linux,US
Alibaba,ACk26,0.40349,0.235,0,0,0,0.1685,100,1000,4,8,300,yes,horizontal,no upfront,No commitment,On Demand,SSD,Linux,US
Amazon,EKS1,0.08732,0.0768,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,no upfront,No commitment,On Demand,Standard,free,Europe
Amazon,EKS2,0.05852,0.048,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,no upfront,1 Year commitment,On Demand,Standard,free,Europe
Amazon,EKS3,0.05652,0.046,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,partially upfront,1 Year commitment,On Demand,Standard,free,Europe
Amazon,EKS4,0.05552,0.045,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,All upfront,1 Year commitment,On Demand,Standard,free,Europe
Amazon,EKS5,0.04352,0.033,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,no upfront,3 Year commitment,On Demand,Standard,free,Europe
Amazon,EKS6,0.04152,0.031,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,partially upfront,3 Year commitment,On Demand,Standard,free,Europe
Amazon,EKS7,0.03952,0.029,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,All upfront,3 Year commitment,On Demand,Standard,free,Europe
Amazon,EKS8,0.06428,0.05376,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,no upfront,No commitment,Spot,Standard,free,Europe
Amazon,EKS9,0.13412,0.1236,0.0097,0,0.0008219,0,30,600,2,8,300,yes,horizontal,no upfront,No commitment,On Demand,Standard,Windows,Europe
Amazon,EKS10,0.09896,0.08652,0.0097,0,0.0027397,0,100,400,2,8,300,yes,horizontal,no upfront,No commitment,Spot,Standard,Windows,Europe
Amazon,EKS11,0.12199,0.088,0.03125,0,0.0027397,0,100,400,2,8,1000,yes,horizontal,no upfront,1 Year commitment,On Demand,Standard,Windows,Europe
Amazon,EKS12,0.11899,0.085,0.03125,0,0.0027397,0,100,400,2,8,1000,yes,horizontal,partially upfront,1 Year commitment,On Demand,Standard,Windows,Europe
Amazon,EKS13,0.11799,0.084,0.03125,0,0.0027397,0,100,400,2,8,1000,yes,horizontal,All upfront,1 Year commitment,On Demand,Standard,Windows,Europe
Amazon,EKS14,0.10299,0.069,0.03125,0,0.0027397,0,100,400,2,8,1000,yes,horizontal,no upfront,3 Year commitment,On Demand,Standard,Windows,Europe
Amazon,EKS15,0.09999,0.066,0.03125,0,0.0027397,0,100,400,2,8,1000,yes,horizontal,partially upfront,3 Year commitment,On Demand,Standard,Windows,Europe
Amazon,EKS16,0.09799,0.064,0.03125,0,0.0027397,0,100,400,2,8,1000,yes,horizontal,All upfront,3 Year commitment,On Demand,Standard,Windows,Europe
Amazon,EKS17,0.17079,0.1368,0.03125,0,0.0027397,0,100,400,2,8,1000,yes,horizontal,no upfront,No commitment,On Demand,Standard,Linux,Europe
Amazon,EKS18,0.12975,0.09576,0.03125,0,0.0027397,0,100,400,2,8,1000,yes,horizontal,no upfront,No commitment,Spot,Standard,Linux,Europe
Amazon,EKS19,0.15021,0.108,0.03125,0,0.0109589,0,400,400,2,8,1000,yes,horizontal,no upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,EKS20,0.14821,0.106,0.03125,0,0.0109589,0,400,400,2,8,1000,yes,horizontal,partially upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,EKS21,0.14721,0.105,0.03125,0,0.0109589,0,400,400,2,8,1000,yes,horizontal,All upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,EKS22,0.2545,0.089,0.03125,0,0.0109589,0.1233,400,1000,2,8,1000,yes,horizontal,no upfront,3 Year commitment,On Demand,Standard,Linux,Europe
Amazon,EKS23,0.2525,0.087,0.03125,0,0.0109589,0.1233,400,1000,2,8,1000,yes,horizontal,partially upfront,3 Year commitment,On Demand,Standard,Linux,Europe
Amazon,EKS24,0.23713,0.089,0.01388,0,0.0109589,0.1233,400,1000,2,8,400,yes,horizontal,All upfront,3 Year commitment,On Demand,Standard,Linux,Europe
