Provider,,Price,CPU_RAM_Price,Storage_Price,Cluster_fee,licensed_OS,Hybrid_support,internal_egress_price,external_egress_price_per_month,internal_egress,external_egress,CPU ,RAM,STORAGE,Cluster_management_fee,Regional_redundancy,Autoscaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Hybrid_multicloud_support,Pay_per_pod_usage,Region,Built-in_authentication,self-recovery_features,automate_backup_tasks,Versioning&upgrades
Google,S1,120.179168,0.172668,0.0065,0,0,0,0,120,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk1,123.24,0.13,0.02,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk2,123.231,0.121,0.02,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk3,123.28,0.13,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk4,123.271,0.121,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,no upfront,No commitment,Dedicated,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk5,123.225,0.075,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk6,123.186,0.036,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk7,123.184,0.034,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,All upfront,1 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk8,123.202,0.052,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk9,123.175,0.025,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk10,123.165,0.015,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,All upfront,3 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk11,123.225,0.075,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk12,123.186,0.036,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk13,123.184,0.034,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,All upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk14,123.202,0.052,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
