Provider,product,Price,CPU_RAM_Price,Storage_Price,Cluster_fee,licensed_OS,Hybrid_support,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Cluster_management_fee,Regional_redundancy,Autoscaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Hybrid_multicloud_support,Pay_per_pod_usage,Region,Built-in_authentication,self-recovery_features,automate_backup_tasks,Versioning&upgrades
Google,S1,0.22848,0.172668,0.0065,0,0,0,0.0000000,0.0493,100,300,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk1,0.34110,0.13,0.02,0.09,0,0,0.0000000,0.1011,30,600,4,8,200,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk2,0.33210,0.121,0.02,0.09,0,0,0.0000000,0.1011,30,600,4,8,200,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk3,0.38110,0.13,0.06,0.09,0,0,0.0000000,0.1011,30,600,4,8,200,yes,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk4,0.37210,0.121,0.06,0.09,0,0,0.0000000,0.1011,30,600,4,8,200,yes,yes,both,no,no upfront,No commitment,Dedicated,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk5,0.32610,0.075,0.06,0.09,0,0,0.0000000,0.1011,30,600,4,8,200,yes,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk6,0.28710,0.036,0.06,0.09,0,0,0.0000000,0.1011,30,600,4,8,200,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk7,0.28510,0.034,0.06,0.09,0,0,0.0000000,0.1011,30,600,4,8,200,yes,yes,both,no,All upfront,1 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk8,0.30310,0.052,0.06,0.09,0,0,0.0000000,0.1011,100,600,4,8,200,yes,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk9,0.27610,0.025,0.06,0.09,0,0,0.0000000,0.1011,100,600,4,8,200,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk10,0.26610,0.015,0.06,0.09,0,0,0.0000000,0.1011,100,600,4,8,200,yes,yes,both,no,All upfront,3 Year commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk11,0.39349,0.075,0.06,0.09,0,0,0.0000000,0.1685,100,1000,4,8,200,yes,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk12,0.35449,0.036,0.06,0.09,0,0,0.0000000,0.1685,100,1000,4,8,200,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk13,0.35249,0.034,0.06,0.09,0,0,0.0000000,0.1685,100,1000,4,8,200,yes,yes,both,no,All upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk14,0.37049,0.052,0.06,0.09,0,0,0.0000000,0.1685,100,1000,4,8,200,yes,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk15,0.34349,0.025,0.06,0.09,0,0,0.0000000,0.1685,100,1000,4,8,200,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk16,0.30349,0.015,0.03,0.09,0,0,0.0000000,0.1685,100,1000,4,8,300,yes,yes,both,no,All upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk17,1.13797,0.344,0.03,0.09,0,0,0.0000000,0.6740,1000,4000,8,16,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk18,1.07497,0.281,0.03,0.09,0,0,0.0000000,0.6740,1000,4000,8,16,300,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk19,1.05597,0.262,0.03,0.09,0,0,0.0000000,0.6740,1000,4000,8,16,300,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk20,1.05097,0.257,0.03,0.09,0,0,0.0000000,0.6740,1000,4000,8,16,300,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk21,0.98997,0.196,0.03,0.09,0,0,0.0000000,0.6740,1000,4000,8,16,300,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
