Provider,Price,CPU,RAM,STORAGE,Cluster_management_fee,Regional redundancy,Auto-scaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Hybrid&multi-cloud_support,Pay_per_pod_usage,Built-in_authentication,self-recovery_features,automate_backup_tasks,Monitoring&logging,Versioning&upgrades
Google S1,0.26581,4,16,100,no,no,vertical,no,no upfront,No commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S2,0.12233,4,16,100,no,no,vertical,no,no upfront,No commitment,Spot,no,no,yes,yes,yes,yes,yes
Google S3,0.06305,4,16,100,no,no,horizontal,no,no upfront,1 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S4,0.21959,4,16,100,no,no,both,no,no upfront,3 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S5,0.41964,4,16,100,yes,yes,vertical,no,no upfront,No commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S6,0.22034,4,16,100,yes,yes,vertical,no,no upfront,1 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S7,0.08723,4,16,100,yes,yes,vertical,no,no upfront,3 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S8,0.40966,4,16,100,yes,yes,vertical,no,no upfront,No commitment,Spot,no,no,yes,yes,yes,yes,yes
Google S9,0.16861,8,16,100,no,no,vertical,no,no upfront,No commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S10,0.26491,8,16,100,no,no,vertical,no,no upfront,No commitment,Spot,no,no,yes,yes,yes,yes,yes
Google S11,0.04218,8,16,100,no,no,vertical,no,no upfront,1 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S12,0.48961,8,16,100,no,no,vertical,no,no upfront,3 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S13,0.37644,8,16,100,yes,yes,vertical,no,no upfront,No commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S14,0.26178,8,16,100,yes,yes,vertical,no,no upfront,No commitment,Spot,no,no,yes,yes,yes,yes,yes
Google S15,0.20643,8,16,100,yes,yes,both,no,no upfront,No commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google S16,0.10858,8,16,100,yes,yes,both,no,no upfront,3 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
Google A1,0.29186,4,16,100,yes,yes,both,no,no upfront,No commitment,On Demand,no,yes,yes,yes,yes,yes,yes
Google A2,0.46481,4,16,100,yes,yes,both,no,no upfront,1 Year commitment,On Demand,no,yes,yes,yes,yes,yes,yes
Google A3,0.10881,4,16,100,yes,yes,both,no,no upfront,3 Year commitment,On Demand,no,yes,yes,yes,no,no,yes
Google A4,0.05338,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,no,yes,yes,yes,no,no,yes
Amazon EKS1,0.42815,4,16,100,yes,no,both,no,partially upfront,No commitment,On Demand,yes,no,yes,yes,no,no,yes
Amazon EKS2,0.40983,4,16,100,yes,no,both,no,All upfront,1 Year commitment,Spot,no,no,yes,yes,no,no,yes
Amazon EKS3,0.08232,4,16,100,yes,no,both,no,no upfront,3 Year commitment,On Demand,no,no,yes,yes,no,no,yes
Amazon EKS4,0.07069,4,16,100,yes,yes,both,yes,no upfront,No commitment,On Demand,no,no,yes,yes,no,no,yes
Amazon EKS5,0.37885,4,16,100,no,yes,both,yes,partially upfront,1 Year commitment,On Demand,no,no,yes,no,no,no,yes
Amazon EKS6,0.16968,4,16,100,no,yes,both,yes,All upfront,3 Year commitment,On Demand,no,no,yes,no,no,no,yes
Amazon EKS7,0.09875,4,16,100,no,yes,both,no,partially upfront,No commitment,On Demand,no,no,yes,no,no,no,yes
Amazon EKS8,0.34803,4,16,100,no,no,both,no,partially upfront,No commitment,Spot,no,no,yes,no,no,no,yes
Amazon ECS1,0.11482,4,16,100,no,no,vertical,no,partially upfront,No commitment,ca,no,no,yes,yes,no,no,yes
Amazon ECS2,0.20038,4,16,100,no,no,vertical,no,partially upfront,1 Year commitment,Spot,no,no,yes,yes,yes,yes,yes
Amazon ECS3,0.39138,4,16,100,no,no,vertical,yes,partially upfront,3 Year commitment,Spot,no,no,yes,yes,yes,yes,yes
Amazon ECS4,0.48743,4,16,100,no,yes,vertical,yes,partially upfront,No commitment,On Demand,no,no,yes,yes,yes,yes,yes
IBM01,0.4279,4,16,100,no,yes,vertical,yes,partially upfront,No commitment,Spot,no,no,yes,yes,yes,yes,yes
IBM02,0.38598,4,16,100,yes,yes,both,yes,partially upfront,No commitment,Spot,no,no,yes,yes,yes,yes,yes
IBM03,0.29377,4,16,100,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
IBM04,0.19314,4,16,100,yes,yes,both,no,no upfront,No commitment,Spot,no,no,yes,yes,yes,yes,yes
IBM05,0.11928,8,16,100,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,no,no,yes,yes,yes,yes,yes
IBM06,0.04319,8,16,100,yes,yes,horizontal,no,All upfront,3 Year commitment,On Demand,no,yes,yes,yes,yes,yes,yes
IBM07,0.35508,8,16,100,no,no,horizontal,no,no upfront,No commitment,On Demand,no,yes,yes,yes,yes,yes,yes
IBM08,0.05402,8,16,100,no,no,horizontal,yes,no upfront,No commitment,On Demand,no,yes,yes,yes,yes,yes,yes
