Provider,product,Price,CPU_RAM_Price,Storage_Price,Cluster_fee,licensed_OS,Hybrid_support,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Cluster_management_fee,Regional_redundancy,Autoscaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Hybrid_multicloud_support,Pay_per_pod_usage,Region,Built-in_authentication,self-recovery_features,automate_backup_tasks,Versioning&upgrades
Amazon,EKS1,0.31253,0.0768,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS2,0.28373,0.048,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS3,0.28173,0.046,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS4,0.28073,0.045,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS5,0.26873,0.033,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS6,0.26673,0.031,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS7,0.26473,0.029,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS8,0.28949,0.05376,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,Spot,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS9,0.35933,0.1236,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS10,0.32225,0.08652,0.0097,0.1,0,0,0.0027397,0.1233,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,Spot,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS11,0.34528,0.088,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS12,0.34228,0.085,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS13,0.34128,0.084,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS14,0.32628,0.069,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS15,0.32328,0.066,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS16,0.32128,0.064,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS17,0.39408,0.1368,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS18,0.35304,0.09576,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,no upfront,No commitment,Spot,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS19,0.36528,0.108,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS20,0.36328,0.106,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS21,0.36228,0.105,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS22,0.34628,0.089,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS23,0.34428,0.087,0.03125,0.1,0,0,0.0027397,0.1233,100,1000,2,8,1000,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS24,0.32891,0.089,0.01388,0.1,0,0,0.0027397,0.1233,100,1000,2,8,400,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS25,6.66917,1.4868,0.01388,0.1,0,0,0.2739726,4.7945,10000,50000,32,64,400,yes,yes,both,no,no upfront,No commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
