Provider,product,Price,CPU_RAM_Price,Storage_Price,Cluster_fee,licensed_OS,Hybrid_support,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Cluster_management_fee,Regional_redundancy,Autoscaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Hybrid_multicloud_support,Pay_per_pod_usage,Region,Built-in_authentication,self-recovery_features,automate_backup_tasks,Versioning&upgrades
Google,S1,0.34355,0.172668,0.0065,0,0,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Google,S2,0.52755,0.172668,0.0065,0,0.184,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Google,S3,0.35113,0.172668,0.0065,0,0.007577,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Google,S4,0.36535,0.172668,0.0283,0,0,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,SSD,free,no,no,Europe,yes,yes,yes,yes
Google,S5,0.54935,0.172668,0.0283,0,0.184,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Europe,yes,yes,yes,yes
Google,S6,0.36535,0.172668,0.0283,0,0,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Google,S7,0.23025,0.051788,0.0065,0,0.007577,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,Spot,Standard,free,no,no,Europe,yes,yes,yes,yes
Google,S8,0.40667,0.051788,0.0065,0,0.184,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,Spot,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Google,S9,0.23025,0.051788,0.0065,0,0.007577,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,Spot,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Google,S10,0.24447,0.051788,0.0283,0,0,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,Spot,SSD,free,no,no,Europe,yes,yes,yes,yes
Google,S11,0.42847,0.051788,0.0283,0,0.184,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,Spot,SSD,Windows,no,no,Europe,yes,yes,yes,yes
Google,S12,0.25205,0.051788,0.0283,0,0.007577,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,No commitment,Spot,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Google,S13,0.27966,0.108772,0.0065,0,0,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Google,S14,0.46366,0.108772,0.0065,0,0.184,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Google,S15,0.28723,0.108772,0.0065,0,0.007577,0,0,0.1644,100,1000,4,16,100,no,no,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
