Provider,Price,Deployment Type,CPU,RAM,STORAGE,external_egress,internal_egress,Autoscaling,Term_Length,Instance_Type,OS,Region,Scaling_to_zero,AppService_Domain,Certificates,Regional_Redudancy,Container_support
Amazon,0.05879863014,WebApp,1,0.5,10,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,no,no
Amazon,0.08269863014,WebApp,1,2,10,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,no,no
Amazon,0.1106986301,WebApp,2,4,10,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,no,no
Amazon,0.07029863014,WebApp,2,1,10,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,no,no
Amazon,0.08989863014,WebApp,2,2,10,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,no,no
Amazon,0.1628684932,WebApp,2,8,10,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.4350684932,WebApp,4,7,10,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.4880684932,WebApp,4,32,10,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.4074931507,WebApp,4,8,50,400,100,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.2976027397,WebApp,4,16,50,400,400,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.5376027397,WebApp,8,32,50,400,400,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.06400273973,WebApp,1,0.5,50,400,400,yes,1,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.08227534247,WebApp,1,2,50,400,400,yes,1,A_Shared,Windows,US,yes,no,A_no,yes,no
Amazon,0.1049753425,WebApp,2,4,50,400,400,yes,1,A_Shared,Windows,US,yes,no,A_no,yes,no
Amazon,0.1472479452,WebApp,2,1,50,1000,400,yes,1,A_Shared,Windows,US,yes,no,A_no,yes,no
Amazon,0.1639479452,WebApp,2,2,50,1000,400,yes,1,A_Shared,Windows,US,yes,no,A_no,yes,no
Amazon,0.2181479452,WebApp,2,8,50,1000,400,yes,1,A_Shared,Windows,US,yes,no,A_no,yes,no
Amazon,0.4595479452,WebApp,4,7,50,1000,400,yes,1,A_Shared,Windows,US,yes,no,A_no,yes,no
Amazon,0.4856712329,WebApp,4,32,250,1000,400,yes,1,A_Shared,Windows,US,yes,no,A_no,yes,no
Amazon,0.4446712329,WebApp,4,8,250,1000,400,yes,1,A_Shared,Windows,US,yes,no,A_no,yes,no
Amazon,0.3257917808,WebApp,4,16,250,1000,400,yes,1,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.5192917808,WebApp,8,32,250,1000,400,yes,1,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.1373917808,WebApp,1,0.5,250,1000,400,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.1528917808,WebApp,1,2,250,1000,400,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.1711917808,WebApp,2,4,250,1000,600,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.1465917808,WebApp,2,1,250,1000,600,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.1608917808,WebApp,2,2,250,1000,600,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.2010917808,WebApp,2,8,250,1000,600,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.7880547945,WebApp,4,7,250,4000,600,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.8040547945,WebApp,4,32,250,4000,600,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.7680547945,WebApp,4,8,250,4000,600,yes,3,A_Shared,Windows,US,yes,no,A_no,no,no
Amazon,0.6764054795,WebApp,4,16,500,4000,600,yes,3,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.8326054795,WebApp,8,32,500,4000,600,yes,3,A_Shared,Windows,US,yes,yes,A_no,yes,no
Amazon,0.5260054795,WebApp,1,0.5,500,4000,600,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.5432054795,WebApp,1,2,500,4000,600,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.5618054795,WebApp,2,4,500,4000,600,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.5306054795,WebApp,2,1,500,4000,600,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.5410054795,WebApp,2,2,500,4000,600,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.6034054795,WebApp,2,8,500,4000,600,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.7192054795,WebApp,4,7,500,4000,600,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.7516849315,WebApp,4,32,500,4000,1000,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.7134931507,WebApp,4,8,1000,4000,1000,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.7098931507,WebApp,4,16,1000,4000,1000,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.8762931507,WebApp,8,32,1000,4000,1000,yes,0,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.5475931507,WebApp,1,0.5,1000,4000,1000,yes,1,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.3134178082,WebApp,1,2,1000,2000,1000,yes,1,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.3269178082,WebApp,2,4,1000,2000,1000,yes,1,A_Shared,Linux,US,yes,yes,A_no,yes,no
Amazon,0.2907191781,WebApp,2,1,1000,2000,1000,yes,1,A_Shared,Linux,US,yes,yes,A_no,no,no
Amazon,0.2971917808,WebApp,2,2,1000,2000,1000,yes,1,A_Shared,Linux,US,yes,no,A_no,no,no
Amazon,0.3471917808,WebApp,2,8,1000,2000,1000,yes,1,Dedicated,Linux,US,yes,no,A_no,no,no
Amazon,0.4411917808,WebApp,4,7,1000,2000,1000,yes,1,Dedicated,Linux,US,yes,no,A_no,no,no
Amazon,0.4601917808,WebApp,4,32,1000,2000,1000,yes,1,Dedicated,Linux,US,yes,no,A_no,no,no
Amazon,0.4151917808,WebApp,4,8,1000,2000,1000,yes,1,Dedicated,Linux,US,yes,no,A_no,no,no
Amazon,0.4120917808,WebApp,4,16,1000,2000,1000,yes,1,Dedicated,Linux,US,yes,no,A_no,no,no
Amazon,0.5419917808,WebApp,8,32,1000,2000,1000,yes,1,Dedicated,Linux,US,yes,no,A_no,no,no
Amazon,0.2498315068,WebApp,1,0.5,10,2000,1000,yes,3,A_Shared,Linux,US,yes,no,A_no,no,no
Amazon,0.272130137,WebApp,1,2,10,2000,1000,yes,3,A_Shared,Linux,US,yes,no,A_no,yes,no
Amazon,0.281230137,WebApp,2,4,10,2000,1000,yes,3,A_Shared,Linux,US,yes,no,A_no,yes,no
Amazon,0.1562410959,WebApp,2,1,10,1000,2000,yes,3,A_Shared,Linux,US,yes,no,A_no,yes,no
Amazon,0.1613410959,WebApp,2,2,10,1000,2000,yes,3,A_Shared,Linux,US,yes,no,A_no,yes,no
Amazon,0.1973410959,WebApp,2,8,10,1000,2000,yes,3,Dedicated,Linux,US,yes,no,A_no,yes,no
Amazon,0.2630410959,WebApp,4,7,10,1000,2000,yes,3,Dedicated,Linux,US,yes,no,A_no,yes,no
Amazon,0.2820410959,WebApp,4,32,10,1000,2000,yes,3,Dedicated,Linux,US,yes,no,A_no,yes,no
Amazon,0.2430410959,WebApp,4,8,10,1000,2000,yes,3,Dedicated,Linux,US,yes,no,A_no,yes,no
Amazon,0.2435410959,WebApp,4,16,10,1000,2000,yes,3,Dedicated,Linux,US,yes,no,A_no,yes,no
Amazon,0.3360410959,WebApp,8,32,10,1000,2000,yes,3,Dedicated,Linux,US,yes,no,A_no,yes,no
Amazon,0.07560958904,WebApp,1,0.5,250,1000,2000,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Amazon,0.102609589,WebApp,1,2,250,1000,2000,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Amazon,0.133009589,WebApp,2,4,250,1000,2000,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
