Provider,Price,Deployment Type,CPU,RAM,STORAGE,external_egress,internal_egress,Autoscaling,Term_Length,Instance_Type,OS,Region,Scaling_to_zero,AppService_Domain,Certificates,Regional_Redudancy,Container_support
Google,0.1787671233,WebApp,1,0.5,50,400,400,no,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Google,0.2787671233,WebApp,2,1,50,400,400,no,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Google,0.3787671233,WebApp,2,2,50,400,400,no,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Google,0.4787671233,WebApp,4,2,50,400,400,no,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Google,0.1787671233,WebApp,1,0.5,50,400,400,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Google,0.2787671233,WebApp,2,1,50,400,400,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Google,0.3787671233,WebApp,2,2,50,400,400,yes,0,A_Shared,Windows,US,yes,yes,A_no,yes,no
Google,0.140915411,WebApp,1,1.75,10,400,400,yes,0,A_Shared,Windows,US,yes,no,A_no,yes,yes
Google,0.205940411,WebApp,2,3.5,10,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.335990411,WebApp,4,7,10,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.132040411,WebApp,1,0.5,10,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.188190411,WebApp,2,1,10,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.423509589,WebApp,2,2,500,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.459009589,WebApp,2,7,500,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.613909589,WebApp,4,14,500,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.466109589,WebApp,2,8,500,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.5061917808,WebApp,4,16,500,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.8301917808,WebApp,8,32,500,400,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.2450684932,WebApp,1,0.5,500,400,100,no,0,A_Shared,Windows,A_Europe,yes,yes,A_no,yes,no
Google,0.3750684932,WebApp,2,1,500,400,100,no,0,A_Shared,Windows,A_Europe,yes,yes,A_no,yes,no
Google,0.5050684932,WebApp,2,2,500,400,100,no,0,A_Shared,Windows,A_Europe,yes,yes,A_no,yes,no
Google,0.6350684932,WebApp,4,2,500,400,100,no,0,A_Shared,Windows,A_Europe,yes,yes,A_no,yes,no
Google,0.2450684932,WebApp,1,0.5,500,400,100,yes,0,A_Shared,Windows,A_Europe,yes,yes,A_no,yes,no
Google,0.3750684932,WebApp,2,1,500,400,100,yes,0,A_Shared,Windows,A_Europe,yes,yes,A_no,yes,no
Google,0.5016438356,WebApp,2,2,500,400,100,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Google,0.1811472603,WebApp,1,1.75,50,400,100,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,yes
Google,0.2648972603,WebApp,2,3.5,50,400,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,0.4365068493,WebApp,4,7,50,400,400,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,0.1740068493,WebApp,1,0.5,50,400,400,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,0.2465068493,WebApp,2,1,50,400,400,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,0.2555068493,WebApp,2,2,50,400,400,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,0.3005068493,WebApp,2,7,50,400,400,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,0.5022465753,WebApp,4,14,50,400,600,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
