Provider,Price,Deployment Type,CPU,RAM,STORAGE,external_egress,internal_egress,Autoscaling,Term_Length,Instance_Type,OS,Region,Scaling_to_zero,AppService_Domain,Certificates,Regional_redundancy,Container_support
Microsoft,0.06183561644,WebApp,1,1.75,10,400,100,no,0,dedicated,A_Linux,US,no,no,A_no,no,yes
Microsoft,0.06887671233,WebApp,2,3.5,10,300,600,no,0,dedicated,A_Linux,US,no,no,A_no,no,yes
Microsoft,0.071,WebApp,4,7,10,2000,1000,no,0,dedicated,A_Linux,US,no,no,A_no,no,yes
Microsoft,0.1188356164,WebApp,1,1.75,10,400,100,no,0,dedicated,Windows,US,no,no,A_no,no,yes
Microsoft,0.1828767123,WebApp,2,3.5,10,300,600,no,0,dedicated,Windows,US,no,no,A_no,no,yes
Microsoft,0.3,WebApp,4,7,10,2000,1000,no,0,dedicated,Windows,US,no,no,A_no,no,yes
Microsoft,0.1388356164,WebApp,1,1.75,50,400,100,yes,0,dedicated,A_Linux,US,no,no,A_no,no,yes
Microsoft,0.2228767123,WebApp,2,3.5,50,300,600,yes,0,dedicated,A_Linux,US,no,no,A_no,no,yes
Microsoft,0.38,WebApp,4,7,50,2000,1000,yes,0,dedicated,A_Linux,US,no,no,A_no,no,yes
Microsoft,0.1518253425,WebApp,1,1.75,50,400,100,yes,0,dedicated,Windows,US,no,no,Standard,no,yes
Microsoft,0.2408664384,WebApp,2,3.5,50,300,600,yes,0,dedicated,Windows,US,no,no,Standard,no,yes
Microsoft,0.407989726,WebApp,4,7,50,4000,1000,yes,0,dedicated,Windows,US,no,no,Standard,no,yes
Microsoft,0.1668253425,WebApp,1,3.5,250,400,100,yes,0,dedicated,A_Linux,US,no,no,Standard,no,yes
Microsoft,0.2718664384,WebApp,2,7,250,300,600,yes,0,dedicated,A_Linux,US,no,no,Standard,no,yes
Microsoft,0.469989726,WebApp,4,14,250,4000,1000,yes,0,dedicated,A_Linux,US,no,no,Standard,no,yes
Microsoft,0.2780810502,WebApp,1,3.5,250,400,100,yes,0,dedicated,Windows,US,no,no,Wildcard,no,yes
Microsoft,0.5438344749,WebApp,2,7,250,1000,600,yes,0,dedicated,Windows,US,no,no,Wildcard,no,yes
Microsoft,0.8342454338,WebApp,4,14,250,4000,1000,yes,0,dedicated,Windows,US,no,no,Wildcard,no,yes
Microsoft,0.4788344749,WebApp,2,8,250,1000,600,yes,0,dedicated,Windows,US,no,no,Wildcard,no,yes
Microsoft,0.7042454338,WebApp,4,16,250,4000,1000,yes,0,dedicated,Windows,US,no,no,Wildcard,no,yes
Microsoft,1.374245434,WebApp,8,32,250,4000,1000,yes,0,dedicated,Windows,US,no,no,Wildcard,no,yes
Microsoft,0.3938344749,WebApp,2,8,250,1000,600,yes,1,dedicated,Windows,US,no,no,Wildcard,no,yes
