,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.535,0.034,-15.697,0.0,-0.602,-0.468
CPU,0.611,0.025,24.521,0.0,0.562,0.66
RAM,0.1126,0.023,4.973,0.0,0.068,0.157
Storage,0.0536,0.012,4.368,0.0,0.029,0.078
Cluster_mgmt_fee,0.0872,0.012,7.339,0.0,0.064,0.111
Regional_redundancy,-0.014,0.01,-1.428,0.154,-0.033,0.005
Autoscaling,0.0468,0.015,3.21,0.001,0.018,0.075
Vendor_agnostic,0.0771,0.021,3.662,0.0,0.036,0.118
Term_length_commitment,-0.093,0.018,-5.057,0.0,-0.129,-0.057
Disk_type,0.0115,0.009,1.238,0.216,-0.007,0.03
Multicloud_support,0.0447,0.011,4.139,0.0,0.023,0.066
Pay_per_container,0.0804,0.015,5.541,0.0,0.052,0.109
Payment_all upfront,0.0003,0.015,0.022,0.982,-0.029,0.029
Payment_partially upfront,-0.004,0.015,-0.27,0.787,-0.033,0.025
Operating System_Windows,0.0341,0.011,2.967,0.003,0.012,0.057
Operating System_free,-0.0199,0.012,-1.664,0.097,-0.043,0.004
Instance_Type_Dedicated,0.0857,0.012,7.452,0.0,0.063,0.108
Instance_Type_spot,-0.0381,0.015,-2.523,0.012,-0.068,-0.008
Region_Asia,-0.0231,0.011,-2.145,0.032,-0.044,-0.002
Region_South America,-0.0303,0.019,-1.612,0.107,-0.067,0.007
Region_US,-0.0309,0.012,-2.683,0.007,-0.053,-0.008
