,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.8198,0.035,-23.694,0.0,-0.888,-0.752
CPU,0.3582,0.027,13.47,0.0,0.306,0.41
RAM,0.067,0.02,3.371,0.001,0.028,0.106
Storage,0.0251,0.01,2.435,0.015,0.005,0.045
External_traffic,0.1792,0.012,15.007,0.0,0.156,0.203
Cluster_mgmt_fee,0.0854,0.01,8.749,0.0,0.066,0.105
Pay_per_container,0.035,0.012,2.801,0.005,0.01,0.059
Multicloud_support,0.0215,0.008,2.786,0.005,0.006,0.037
Vendor_agnostic,0.0449,0.018,2.551,0.011,0.01,0.08
Disk_type,0.0188,0.008,2.374,0.018,0.003,0.034
