,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.4705,0.036,-12.964,0.0,-0.542,-0.399
CPU,0.5313,0.027,19.588,0.0,0.478,0.585
RAM,0.1989,0.024,8.312,0.0,0.152,0.246
STORAGE,0.0306,0.014,2.207,0.028,0.003,0.058
Regional_redundancy,0.0091,0.01,0.901,0.368,-0.011,0.029
Term_Length,-0.1079,0.021,-5.093,0.0,-0.15,-0.066
Disk_type,0.0173,0.01,1.728,0.085,-0.002,0.037
Payment_all upfront,0.0129,0.016,0.816,0.415,-0.018,0.044
Payment_partially upfront,0.0102,0.016,0.637,0.524,-0.021,0.042
OS_Windows,0.0271,0.012,2.245,0.025,0.003,0.051
OS_free,-0.0352,0.011,-3.23,0.001,-0.057,-0.014
Instance_Type_dedicated,0.1045,0.012,8.688,0.0,0.081,0.128
Instance_Type_spot,-0.0688,0.017,-4.156,0.0,-0.101,-0.036
Region_Africa,-0.0314,0.062,-0.51,0.611,-0.152,0.09
Region_Asia,-0.0206,0.012,-1.708,0.088,-0.044,0.003
Region_Australia,0.0327,0.062,0.532,0.595,-0.088,0.154
Region_South America,-0.0084,0.023,-0.371,0.71,-0.053,0.036
Region_US,-0.0221,0.013,-1.767,0.078,-0.047,0.002
