,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.4442,0.033,-13.367,0.0,-0.509,-0.379
CPU,0.5343,0.026,20.626,0.0,0.483,0.585
RAM,0.1936,0.023,8.3,0.0,0.148,0.239
STORAGE,0.0242,0.013,1.858,0.064,-0.001,0.05
Term_Length,-0.1042,0.019,-5.372,0.0,-0.142,-0.066
Region_US,-0.0075,0.011,-0.716,0.474,-0.028,0.013
OS_Windows,0.0285,0.012,2.439,0.015,0.006,0.051
OS_free,-0.0289,0.01,-2.826,0.005,-0.049,-0.009
Instance_Type_dedicated,0.1013,0.012,8.742,0.0,0.079,0.124
Instance_Type_spot,-0.065,0.016,-4.04,0.0,-0.097,-0.033
