,coef,std err,t,P>|t|,[0.025,0.975]
CPU,0.2073,0.023,8.89,0.0,0.161,0.253
RAM,0.0133,0.011,1.227,0.221,-0.008,0.035
STORAGE,0.0198,0.004,4.451,0.0,0.011,0.028
Autoscaling,-0.0371,0.01,-3.604,0.0,-0.057,-0.017
Term_Length,-0.055,0.013,-4.122,0.0,-0.081,-0.029
Scaling_to_zero,-0.0398,0.007,-5.79,0.0,-0.053,-0.026
AppService_Domain,-0.0098,0.006,-1.603,0.11,-0.022,0.002
Regional_Redudancy,0.0094,0.006,1.496,0.136,-0.003,0.022
Container_support,0.0027,0.009,0.283,0.777,-0.016,0.021
Instance_Type_Dedicated,0.0086,0.009,0.983,0.326,-0.009,0.026
Region_Africa,0.0083,0.015,0.556,0.579,-0.021,0.038
Region_Asia,0.0389,0.009,4.311,0.0,0.021,0.057
Region_South America,0.1011,0.01,9.73,0.0,0.081,0.122
Region_US,0.0534,0.008,6.679,0.0,0.038,0.069
OS_Windows,-0.0008,0.007,-0.123,0.902,-0.014,0.013
