,coef,std err,t,P>|t|,[0.025,0.975]
CPU,0.2117,0.044,4.764,0.0,0.124,0.299
RAM,0.0454,0.022,2.093,0.037,0.003,0.088
STORAGE,0.064,0.006,10.025,0.0,0.051,0.077
Autoscaling,0.0076,0.012,0.616,0.538,-0.017,0.032
Term_Length,4.031e-17,2.36e-17,1.708,0.089,-6.16e-18,8.68e-17
Scaling_to_zero,0.0093,0.018,0.517,0.606,-0.026,0.045
AppService_Domain,-0.0187,0.012,-1.504,0.134,-0.043,0.006
Regional_Redudancy,-0.0132,0.008,-1.706,0.089,-0.028,0.002
Container_support,-0.011,0.021,-0.535,0.593,-0.052,0.03
Region_Asia,0.0238,0.012,1.909,0.057,-0.001,0.048
Region_Australia,0.0455,0.012,3.84,0.0,0.022,0.069
Region_South America,0.0576,0.013,4.268,0.0,0.031,0.084
Region_US,0.043,0.012,3.47,0.001,0.019,0.067
const,-0.0839,0.036,-2.349,0.02,-0.154,-0.014
