,coef,std err,t,P>|t|,[0.025,0.975]
CPU,0.2043,0.178,1.15,0.251,-0.146,0.554
RAM,0.1771,0.145,1.225,0.222,-0.107,0.462
STORAGE,-0.0149,0.059,-0.253,0.8,-0.131,0.101
Autoscaling,0.065,0.043,1.528,0.128,-0.019,0.149
Term_Length,-0.1606,0.015,-10.629,0.0,-0.19,-0.131
Scaling_to_zero,5.239e-17,3.74e-16,0.14,0.889,-6.84e-16,7.89e-16
AppService_Domain,-0.0109,0.008,-1.28,0.202,-0.028,0.006
Regional_Redudancy,-0.0541,0.014,-3.876,0.0,-0.082,-0.027
Container_support,-0.0684,0.027,-2.52,0.012,-0.122,-0.015
Instance_Type_Isolated,0.1439,0.042,3.431,0.001,0.061,0.226
Region_Africa,0.073,0.014,5.391,0.0,0.046,0.1
Region_Asia,0.0556,0.013,4.217,0.0,0.03,0.082
Region_Australia,0.0368,0.015,2.513,0.013,0.008,0.066
Region_South America,0.0311,0.014,2.282,0.023,0.004,0.058
Region_US,-0.0179,0.009,-1.981,0.049,-0.036,-0.0
Certificates_Standard,-0.0457,0.009,-4.933,0.0,-0.064,-0.027
Certificates_Wildcard,-0.0072,0.009,-0.754,0.451,-0.026,0.012
OS_Windows,0.0489,0.006,8.203,0.0,0.037,0.061
const,-0.0684,0.027,-2.52,0.012,-0.122,-0.015
