,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.548,0.03,-18.262,0.0,-0.607,-0.489
CPU,0.6132,0.024,25.436,0.0,0.566,0.661
RAM,0.1132,0.022,5.092,0.0,0.07,0.157
Storage,0.0531,0.012,4.547,0.0,0.03,0.076
Cluster_mgmt_fee,0.0794,0.011,7.2,0.0,0.058,0.101
Autoscaling,0.0371,0.013,2.794,0.005,0.011,0.063
Vendor_agnostic,0.0778,0.02,3.898,0.0,0.039,0.117
Term_length_commitment,-0.0915,0.017,-5.305,0.0,-0.125,-0.058
Multicloud_support,0.0469,0.01,4.774,0.0,0.028,0.066
Pay_per_container,0.0771,0.014,5.558,0.0,0.05,0.104
Operating System_Windows,0.0452,0.01,4.624,0.0,0.026,0.064
Instance_Type_Dedicated,0.0857,0.011,7.531,0.0,0.063,0.108
Instance_Type_spot,-0.0387,0.015,-2.567,0.011,-0.068,-0.009
Region_Asia,-0.0162,0.01,-1.577,0.115,-0.036,0.004
Region_US,-0.0249,0.011,-2.304,0.022,-0.046,-0.004
