,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.144,0.026,-5.535,0.0,-0.195,-0.093
CPU,0.3346,0.021,16.32,0.0,0.294,0.375
RAM,-0.0111,0.011,-1.006,0.315,-0.033,0.011
STORAGE,0.0498,0.004,12.872,0.0,0.042,0.057
Autoscaling,-0.0071,0.008,-0.876,0.381,-0.023,0.009
Term_Length,-0.1263,0.011,-11.5,0.0,-0.148,-0.105
OS,0.0491,0.005,9.725,0.0,0.039,0.059
Scaling_to_zero,0.0158,0.017,0.94,0.348,-0.017,0.049
AppService_Domain,-0.0109,0.005,-2.126,0.034,-0.021,-0.001
Regional_Redudancy,-0.0068,0.005,-1.322,0.186,-0.017,0.003
Container_support,0.0415,0.017,2.442,0.015,0.008,0.075
Instance_Type_Isolated,0.0814,0.01,8.46,0.0,0.063,0.1
Instance_Type_Shared,0.0034,0.007,0.494,0.621,-0.01,0.017
Region_Asia,-0.0086,0.012,-0.714,0.476,-0.032,0.015
Region_Australia,0.006,0.013,0.451,0.652,-0.02,0.032
Region_Europe,-0.0536,0.012,-4.532,0.0,-0.077,-0.03
Region_South America,0.0036,0.013,0.286,0.775,-0.021,0.028
Region_US,-0.0286,0.011,-2.502,0.013,-0.051,-0.006
Certificates_Wildcard,0.0239,0.013,1.785,0.075,-0.002,0.05
Certificates_no,0.0219,0.011,2.07,0.039,0.001,0.043
