,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.4386,0.023,-19.236,0.0,-0.483,-0.394
CPU,0.2464,0.015,16.109,0.0,0.216,0.276
RAM,0.008,0.008,0.99,0.323,-0.008,0.024
STORAGE,0.0299,0.003,10.256,0.0,0.024,0.036
external_egress,0.1276,0.005,24.018,0.0,0.117,0.138
internal_egress,0.0024,0.005,0.539,0.59,-0.006,0.011
Autoscaling,-0.0165,0.006,-2.8,0.005,-0.028,-0.005
Term_Length,-0.1235,0.008,-15.313,0.0,-0.139,-0.108
OS,0.0456,0.004,12.244,0.0,0.038,0.053
Scaling_to_zero,0.0103,0.012,0.838,0.403,-0.014,0.034
AppService_Domain,0.004,0.004,1.055,0.292,-0.003,0.011
Regional_Redudancy,0.0083,0.004,2.206,0.028,0.001,0.016
Container_support,0.0246,0.012,1.975,0.049,0.0,0.049
Instance_Type_Isolated,0.0839,0.007,11.912,0.0,0.07,0.098
Instance_Type_Shared,0.0128,0.005,2.536,0.011,0.003,0.023
Region_Asia,-0.0139,0.009,-1.585,0.113,-0.031,0.003
Region_Australia,0.0047,0.01,0.485,0.628,-0.014,0.024
Region_Europe,-0.049,0.009,-5.685,0.0,-0.066,-0.032
Region_South America,-0.0059,0.009,-0.635,0.526,-0.024,0.012
Region_US,-0.037,0.008,-4.45,0.0,-0.053,-0.021
Certificates_Wildcard,0.0162,0.01,1.655,0.098,-0.003,0.035
Certificates_no,-0.0005,0.008,-0.061,0.951,-0.016,0.015
