,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.7442,0.098,-7.617,0.0,-0.936,-0.552
CPU,1.4011,0.088,15.862,0.0,1.228,1.574
RAM,-0.0717,0.048,-1.502,0.134,-0.165,0.022
STORAGE,0.1751,0.017,10.51,0.0,0.142,0.208
Autoscaling,-0.0105,0.035,-0.303,0.762,-0.079,0.058
Term_Length,-0.5055,0.047,-10.681,0.0,-0.598,-0.413
OS,0.1949,0.022,8.953,0.0,0.152,0.238
Scaling_to_zero,0.0793,0.072,1.095,0.274,-0.063,0.221
AppService_Domain,-0.0269,0.022,-1.221,0.222,-0.07,0.016
Regional_Redudancy,-0.0327,0.022,-1.477,0.14,-0.076,0.011
Container_support,0.1702,0.073,2.323,0.02,0.026,0.314
Instance_Type_Dedicated,-0.0183,0.029,-0.626,0.531,-0.076,0.039
Instance_Type_Isolated,0.4047,0.041,9.862,0.0,0.324,0.485
Region_Africa,0.1291,0.049,2.626,0.009,0.033,0.226
Region_Asia,0.0735,0.029,2.57,0.01,0.017,0.13
Region_Australia,0.143,0.036,3.99,0.0,0.073,0.213
Region_Europe,-0.0786,0.027,-2.874,0.004,-0.132,-0.025
Region_South America,0.0982,0.031,3.201,0.001,0.038,0.158
Certificates_Standard,-0.0882,0.046,-1.931,0.054,-0.178,0.001
Certificates_Wildcard,0.0112,0.044,0.255,0.799,-0.075,0.097
