,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1723,0.023,-7.436,0.0,-0.218,-0.127
CPU,0.3346,0.021,16.32,0.0,0.294,0.375
RAM,-0.0111,0.011,-1.006,0.315,-0.033,0.011
STORAGE,0.0498,0.004,12.872,0.0,0.042,0.057
Autoscaling,-0.0071,0.008,-0.876,0.381,-0.023,0.009
Term_Length,-0.1263,0.011,-11.5,0.0,-0.148,-0.105
OS,0.0491,0.005,9.725,0.0,0.039,0.059
Scaling_to_zero,0.0158,0.017,0.94,0.348,-0.017,0.049
AppService_Domain,-0.0109,0.005,-2.126,0.034,-0.021,-0.001
Regional_Redudancy,-0.0068,0.005,-1.322,0.186,-0.017,0.003
Container_support,0.0415,0.017,2.442,0.015,0.008,0.075
Instance_Type_Dedicated,-0.0034,0.007,-0.494,0.621,-0.017,0.01
Instance_Type_Isolated,0.0781,0.01,8.194,0.0,0.059,0.097
Region_Africa,0.0536,0.012,4.532,0.0,0.03,0.077
Region_Asia,0.0451,0.007,6.08,0.0,0.031,0.06
Region_Australia,0.0596,0.009,6.757,0.0,0.042,0.077
Region_South America,0.0573,0.008,7.26,0.0,0.042,0.073
Region_US,0.0251,0.006,3.952,0.0,0.013,0.038
Certificates_Standard,-0.0219,0.011,-2.07,0.039,-0.043,-0.001
Certificates_Wildcard,0.002,0.01,0.193,0.847,-0.018,0.022
